X,Y,Z,Charge
17.501226810252,13.202621083930,25.175086499536,0
18.064797299307,12.482988222041,24.890923363577,0.52
16.783850735277,13.210251516003,24.541410570183,0.52
17.481537839609,13.111476182694,25.057592025565,-1.04
12.487910383470,16.814427149288,22.426153176552,0
13.228049019031,16.883634421751,23.029176387938,0.52
12.783177865027,17.259357817190,21.631744179261,0.52
12.620454858505,16.880243008663,22.401653486911,-1.04
14.424991246557,18.153627746941,18.007353279468,0
13.649431987411,17.983666183450,17.472701296988,0.52
15.146586634271,18.187904548737,17.379374747056,0.52
14.418083219946,18.136258460425,17.858522546572,-1.04
15.335923205609,18.410861589925,29.535612302371,0
16.003886640725,18.409282509047,28.850007317169,0.52
15.526194299039,19.192559328131,30.054242610943,0.52
15.445787579753,18.510726190095,29.514237529234,-1.04
14.359589522265,17.918908807426,14.219105143499,0
15.146173783296,18.318958579164,14.589884350459,0.52
13.761472447595,17.832701134160,14.961436634101,0.52
14.383715595952,17.959084382496,14.361596742326,-1.04
16.504709885052,18.054539988372,16.057426493404,0
17.088817101209,17.369579200461,16.382817518079,0.52
17.076204570812,18.808745017871,15.913202925602,0.52
16.652640870688,18.063404086718,16.080618113646,-1.04
15.946989475319,18.304476218095,7.729791628406,0
16.173748437374,19.215773931001,7.544457628660,0.52
14.999753631347,18.316019235343,7.867060905853,0.52
15.854759741971,18.422610965511,7.723638764057,-1.04
18.207986244278,13.792674948234,17.148778409723,0
17.285337415773,13.546260964036,17.083731291947,0.52
18.580348424292,13.554818962008,16.299659586122,0.52
18.137542914133,13.730682549364,17.031754139931,-1.04
18.330046894212,13.988535966016,13.934520505986,0
17.765824873239,14.632463783561,14.362588627579,0.52
18.119608462236,14.066019427703,13.003959481982,0.52
18.230881010054,14.080885313493,13.870195351964,-1.04
15.463638677782,15.673916955453,8.613464862539,0
15.570402382568,16.539338670564,8.218650214586,0.52
15.834831864301,15.763136297369,9.491238960580,0.52
15.524822926358,15.796122528375,8.675289498994,-1.04
